id;name_fr;name_gb;comment_fr;comment_gb;doc_name_fr;doc_name_gb
1;Creek;Shirt Metal;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair
2;Brazil;Island cyan;Granite open architecture;Ergonomic Soft Shoes;Bulgarian Lev Cambridgeshire;Regional
3;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed
4;connecting generate Music;Inlet Hungary Configurable;interface;Toys;overriding;internet solution
5;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nevada quantify architectures;empower;customized payment
6;Grass-roots Cambridgeshire;Personal Loan Account;Music;Pants;Avon;blue scalable Car
7;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver
8;system;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro
9;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;users scalable
10;transmitting parse infrastructures;matrix Implementation Shirt;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source
