id;name_fr;name_gb;comment_fr;comment_gb;number
1;SQL lavender;transmit Wooden COM;Agent Squares;supply-chains;Bedfordshire
2;Peru withdrawal Down-sized;invoice;Liaison Tonga;Lari;Sports Global Soft
3;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;Future;pixel Phased payment
4;Towels Internal;seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled
5;International card;West Virginia Keys;Factors Soft;black Beauty;Soap
6;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary
7;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate
8;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages;Towels Mississippi Product
9;Metal;complexity Direct Administrator;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut
10;Unbranded Tugrik;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse
